"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"WealthPerception.nlogo"
"econ-dyn-sigma"
"12/13/2025 19:32:11:507 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","mu","sigma","taxrate","efficiency","wealth_change?","network_change?","tax_change?","minimal_degree","rewiring_frequency","efficiency_only_expected?","tax_change_increment","stop_tick","link_creation","wealth_generation","link_removal","layout?","network_generation","quantile_fit","mass_simulation_speedup?","time_lag","wealth_diff_type","N","homophily_strength","all_know_mean_wealth?","friends_of_friends_first?","[step]","gini [wealth] of turtles","wealth_fraction_top [wealth] of turtles 0.1","wealth_fraction_bottom [wealth] of turtles 0.5","wealth_fraction_mid40 [wealth] of turtles","tail_exponent","immobility_top20","long_term_growth_factor"
"20","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16587440149375188","0.1659249332169802","0.3836191209975416","0.4504559457854789","6.363194894841532","0.72","1.0092392135730828"
"21","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16396712521575996","0.1656958233978843","0.3859984747278857","0.44830570187423247","6.22913571283387","0.78","1.0093158919919163"
"19","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.169185768504716","0.16824482076492894","0.3827451620702696","0.4490100171648011","6.695625870535964","0.73","1.0095770030331677"
"18","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.15895843884278515","0.16074166386911298","0.38851985150468227","0.45073848462620547","6.846569706721139","0.71","1.0094631229192301"
"25","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.1530248348222063","0.16120383594794205","0.39374501933296546","0.4450511447190933","7.080570739741424","0.715","1.009406017215315"
"26","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.1666079058887986","0.1663834477281525","0.3831953589410317","0.4504211933308161","6.204506720171978","0.715","1.0094166893478698"
"29","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16385137755826995","0.16557443970329086","0.3863187381045768","0.44810682219213227","6.039870088376939","0.725","1.0092830806220707"
"27","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16258059489364451","0.16354144219038685","0.3854890031663372","0.450969554643274","6.873808831483433","0.75","1.0093296269799075"
"32","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16924532595023933","0.16987051276029844","0.3832894603627719","0.44684002687692825","5.60792794828121","0.74","1.0094036252811494"
"31","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16682638415720152","0.16879205018122964","0.38456720059265537","0.4466407492261151","5.93390690917934","0.755","1.0092454115199079"
"30","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.15581893450038908","0.15915952838708208","0.39022554006078114","0.4506149315521371","6.991348972255905","0.705","1.009343762714532"
"33","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.1611236995064631","0.16443248907898753","0.3880927645523951","0.44747474636861667","6.565974539198859","0.705","1.0093699284949786"
"28","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.1703597328241715","0.16697202602981395","0.38116301179404316","0.4518649621761415","6.5693538973518955","0.71","1.0093906578717144"
"35","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.1500123698585596","0.1589496977540506","0.39452633079042304","0.44652397145552647","6.48125641497247","0.725","1.0091445079384846"
"36","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.1599559741551122","0.16203885949081842","0.3880653154334608","0.44989582507572085","7.106268463335717","0.71","1.0091575376782318"
"34","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.15635627752451398","0.15925817227908345","0.3897269587800955","0.45101486894082277","7.065883537915513","0.73","1.0094676633172668"
"37","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16139873625307732","0.1629831849276086","0.38606053990474176","0.45095627516764997","6.9278923461706645","0.715","1.0090891619215723"
"40","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.1612647041651023","0.16423768748150072","0.3875436326364129","0.4482186798820868","6.336278399779227","0.75","1.009304742280438"
"41","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16146554231365018","0.16732719953374595","0.3883678112708339","0.44430498919541983","5.482899385168084","0.72","1.0091682209141815"
"38","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.1583325829055573","0.1630592667359829","0.39027474624484376","0.4466659870191729","5.563082273672466","0.675","1.009162935391384"
"39","0.01","0.05","0.015","0.95","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.16022812493206628","0.15978596246247193","0.3874154827933864","0.4527985547441425","8.363040835565482","0.735","1.0090531269112322"
