"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"WealthPerception.nlogo"
"gatsby"
"12/14/2025 14:51:12:458 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","sigma","taxrate","wealth_change?","network_change?","tax_change?","minimal_degree","rewiring_frequency","efficiency","efficiency_only_expected?","tax_change_increment","stop_tick","link_creation","wealth_generation","link_removal","layout?","network_generation","quantile_fit","mass_simulation_speedup?","time_lag","wealth_diff_type","mu","N","homophily_strength","all_know_mean_wealth?","friends_of_friends_first?","[step]","gini [wealth] of turtles","immobility_top20","immobility_bottom20","long_term_growth_factor"
"28","0.05","0.005","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.2557756044874935","0.805","0.775","1.0098590391939113"
"29","0.05","0.005","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.2727745348161861","0.82","0.83","1.0099056663044959"
"31","0.05","0.005","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.25564097840457967","0.81","0.81","1.0096452637136946"
"32","0.05","0.005","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.25301840915850016","0.825","0.785","1.0096390341174153"
"33","0.05","0.005","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.2629708838593656","0.795","0.785","1.0097060957712696"
"30","0.05","0.005","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.25613378834106415","0.79","0.835","1.009916776112173"
"36","0.05","0.005","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.26362397529749027","0.83","0.775","1.0098977809134286"
"35","0.05","0.005","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.25912199349063525","0.825","0.725","1.0097160612600222"
"34","0.05","0.005","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.2585139093426958","0.765","0.765","1.0098311884258335"
"38","0.05","0.005","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.2556443005989901","0.81","0.77","1.0097692711586745"
"37","0.05","0.005","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.24910123967666542","0.84","0.76","1.009928485825521"
"39","0.05","0.005","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.2576067414194574","0.835","0.775","1.009894725551737"
"40","0.05","0.005","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.2662378017001199","0.815","0.8","1.0099125170208232"
"41","0.05","0.005","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.26464095854818903","0.84","0.79","1.009867687087216"
"43","0.05","0.005","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.2538307408464111","0.825","0.765","1.009747824007694"
"42","0.05","0.005","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.2528480601302703","0.825","0.78","1.0097121419341921"
"46","0.05","0.005","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.2554557973495568","0.8","0.785","1.0099094021639374"
"44","0.05","0.005","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.2455245535475894","0.825","0.775","1.009707711059785"
"45","0.05","0.005","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.2656640254009468","0.82","0.765","1.009919361065542"
"47","0.05","0.005","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.2647539392410263","0.795","0.79","1.0099524431369573"
"48","0.05","0.005","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.2557972496949821","0.83","0.76","1.0098925250350088"
"49","0.05","0.005","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.2572957886382443","0.78","0.81","1.0099932308428705"
"50","0.05","0.005","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.2619063529339929","0.8","0.8","1.0096327664209481"
"51","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.194279646019071","0.775","0.69","1.0094407706990165"
"52","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.18721239447602578","0.765","0.745","1.009649607424742"
"53","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19702584139139057","0.765","0.71","1.0096579957517995"
"56","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19378613327908467","0.8","0.75","1.0095334974682137"
"57","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.1996465288334197","0.81","0.755","1.0097558092602128"
"54","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19079089092956347","0.755","0.73","1.0095655987594576"
"58","0.05","0.01","true","false","false","10","1","0.95","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","0.01","1000","10","false","false","200","0.19117490645183288","0.72","0.75","1.0095586498192155"
