"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"WealthPerception.nlogo"
"econ-dyn-efficiency"
"12/13/2025 19:53:46:632 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","mu","sigma","taxrate","efficiency","wealth_change?","network_change?","tax_change?","minimal_degree","rewiring_frequency","efficiency_only_expected?","tax_change_increment","stop_tick","link_creation","wealth_generation","link_removal","layout?","network_generation","quantile_fit","mass_simulation_speedup?","time_lag","wealth_diff_type","N","homophily_strength","all_know_mean_wealth?","friends_of_friends_first?","[step]","gini [wealth] of turtles","wealth_fraction_top [wealth] of turtles 0.1","wealth_fraction_bottom [wealth] of turtles 0.5","wealth_fraction_mid40 [wealth] of turtles","tail_exponent","immobility_top20","long_term_growth_factor"
"17","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7152844118643964","0.6426976303832228","0.08919464637657122","0.26810772324020615","1.2485141612229762","0.68","1.0018092474212257"
"18","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7789544817175702","0.7266900359738327","0.06935501645115495","0.20395494757501206","1.0884041437519616","0.725","1.0031536896969986"
"22","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6742615381940573","0.5791257965165786","0.09800365294189928","0.32287055054152264","1.3486531025174933","0.7","1.0072148532428427"
"24","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7165792619941129","0.6473459398902667","0.08887755384897435","0.26377650626076066","1.1547814280838857","0.67","1.00102077855446"
"26","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7147160641775832","0.6448473622599618","0.09048999680866711","0.26466264093137093","1.1445632827721162","0.7","1.0044033332449533"
"27","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7049968545074934","0.6292474110452007","0.08926891494309504","0.2814836740117041","1.1250581942482412","0.655","1.0017317468993479"
"35","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7359946998372098","0.6691274657206168","0.08223748905304698","0.24863504522633698","1.0860889225771604","0.68","1.000895152813242"
"25","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.8515463658533444","0.8289755983250933","0.05685697254258346","0.11416742913232224","1.6508211315101473","0.465","1.0162583925070658"
"29","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7548250248330792","0.6914032024341867","0.075346751895546","0.2332500456702675","1.1995515328777704","0.71","1.0036529331420625"
"34","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7510873549862163","0.6940991807121107","0.07939759845912042","0.22650322082876978","1.0088724894346193","0.625","1.0006982251281138"
"31","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7052015374411142","0.6236744366008096","0.08894055512234353","0.28738500827684654","1.1228272168335267","0.68","1.0004943013438004"
"30","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6883451017326063","0.6148418875484825","0.09881774713543645","0.28634036531608065","1.1330847623101983","0.705","1.0035674945133106"
"28","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7235464965407743","0.6475095880864166","0.0839736451123589","0.26851676680122305","1.1584916556133844","0.745","1.0016773734109263"
"32","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.724342099205135","0.6506939720394515","0.08263934598904668","0.2666666819715015","1.1524083188256942","0.7","1.0005176102365136"
"33","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6907154331752534","0.611837821735218","0.09721802976932614","0.29094414849545636","1.1939339178228545","0.7","1.0001272219187587"
"36","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7337252398744292","0.6625469495226691","0.08197903293821221","0.2554740175391192","1.1707183282357863","0.655","1.0001846219880333"
"38","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6999299477304037","0.6212676492008354","0.09432734686807254","0.28440500393109136","1.191851136853486","0.7","1.0020567187465115"
"40","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.674687568045897","0.5850717899654878","0.09888379828154636","0.3160444117529665","1.3145974813209638","0.67","1.001815969156638"
"42","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.6893154691227872","0.6078642459399279","0.09449659639090363","0.2976391576691691","1.2424317362026538","0.655","1.0046438252593668"
"37","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7089867162185195","0.6372878658522996","0.09590485346415835","0.2668072806835426","1.6825511152158337","0.63","1.0111518756550177"
"41","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7383113033121618","0.6704837324061883","0.08157424266227614","0.24794202493153583","1.1504532661850408","0.665","1.0044297110164695"
"44","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7125911100344808","0.6437000238181253","0.09158244173182815","0.2647175344500465","1.1127574189251026","0.695","1.0026420508642124"
"43","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7312635926785285","0.6641912652207644","0.08435797574602227","0.25145075903321396","1.1811035003551464","0.69","1.0020761241872795"
"39","0.01","0.25","0.015","0.55","true","false","false","10","1","false","0.005","200","homophilic","lognormal","homophilic","false","random","0.1","true","10","log","1000","10","false","false","200","0.7498038230669914","0.6917293749846732","0.07704796822895829","0.23122265678636802","1.0206523214154481","0.67","1.0016133862203842"
