"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"WealthPerception.nlogo"
"econ growth efficiency tax"
"12/13/2025 20:35:09:361 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","taxrate","efficiency","mu","sigma","wealth_change?","network_change?","tax_change?","mass_simulation_speedup?","rewiring_frequency","efficiency_only_expected?","minimal_degree","tax_change_increment","stop_tick","link_creation","time_lag","quantile_fit","wealth_diff_type","wealth_generation","network_generation","link_removal","layout?","N","homophily_strength","all_know_mean_wealth?","friends_of_friends_first?","[step]","long_term_growth_factor","tail_exponent","total_gini","wealth_share_top10","wealth_share_top1","immobility_top20","immobility_quint2","immobility_quint3","immobility_quint4","immobility_bottom20","fraction_perceived_below_real_mean","for_more_tax","for_less_tax","fraction_below_perceived_mean","fraction_below_mean","abs_wealth_diff","log_wealth_assortativity"
"19","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0068760691559968","0.5752952855194338","0.9783927395081589","0.9777963165820136","0.8156186292260083","0.89","0.74","0.685","0.715","0.89","0.871","0.812","0.188","0.822","0.947","1.7500112399157084","-0.017311363317762736"
"14","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0049501073865408","0.5633473979000583","0.964253355498428","0.9624453089008865","0.6509315575764041","0.895","0.735","0.605","0.66","0.895","0.78","0.813","0.187","0.819","0.927","1.7325323210660322","-0.008489425394161854"
"17","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.005132586209029","0.5869764134687171","0.961780044807548","0.9630710552103746","0.624561265326614","0.885","0.74","0.715","0.73","0.875","0.77","0.833","0.167","0.837","0.925","1.7859820695266497","-0.005124049685085047"
"16","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0157018734299663","0.6003232369223032","0.994076395913672","0.9955340281003328","0.9606382894948802","0.9","0.73","0.66","0.69","0.865","0.944","0.816","0.184","0.826","0.98","1.7568067545143433","-7.233613557583932E-4"
"22","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0078754432161314","0.5876446982797128","0.9787239194397477","0.979505839941687","0.8014266230708391","0.875","0.72","0.665","0.66","0.85","0.844","0.82","0.18","0.825","0.944","1.7755960239346018","0.008215794735009713"
"18","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0089356387436976","0.5583507387681188","0.9785914762912802","0.9811633087361582","0.8028092881551414","0.89","0.695","0.635","0.71","0.885","0.865","0.835","0.165","0.841","0.936","1.8067488954452595","-0.0023324185945748244"
"23","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0164815018654292","0.5537501786641537","0.9944176281057107","0.995990076085222","0.9535198557935757","0.86","0.725","0.685","0.705","0.885","0.956","0.823","0.177","0.83","0.978","1.8200647195770367","0.007190718280291436"
"20","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.011828177672687","0.5701857782633025","0.9896098255494548","0.9905783349705761","0.9170431252082342","0.885","0.695","0.64","0.715","0.89","0.92","0.815","0.185","0.822","0.97","1.7210607685775305","-0.020806872812085715"
"24","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0079972431961655","0.6076290645916271","0.9819890288222763","0.9818896734989191","0.8379586775567908","0.885","0.715","0.665","0.705","0.88","0.892","0.817","0.183","0.82","0.951","1.7734946663736595","-5.314769932922524E-4"
"25","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0053800861468065","0.48945161807741683","0.9663432430646326","0.9714312442547584","0.6585553597902835","0.855","0.675","0.645","0.725","0.89","0.796","0.82","0.18","0.83","0.929","1.7449985414026439","2.584625063861366E-4"
"30","0","0.9","0.01","0.25","true","false","false","true","1","false","10","0.005","200","homophilic","10","0.1","log","lognormal","random","homophilic","false","1000","10","false","false","200","1.0099947831435454","0.49433883873004936","0.9817983852784729","0.9883955857666817","0.7954941179378955","0.885","0.715","0.65","0.7","0.88","0.835","0.815","0.185","0.829","0.951","1.7461905316065998","-8.5435848992895E-4"
